player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.4164, 'mob': 0.6079, 'stable': 0.4539, 'parity': 0.3256, 'pos': 0.6795}, 'medio': {'corner': 0.535, 'mob': 0.4115, 'stable': 0.5906, 'parity': 0.3266, 'pos': 0.4129}, 'final': {'corner': 0.274, 'mob': 0.5444, 'stable': 0.3125, 'parity': 0.5927, 'pos': 0.4422}}",minimax,"{'apertura': {'corner': 0.4164, 'mob': 0.6079, 'stable': 0.4539, 'parity': 0.3256, 'pos': 0.6795}, 'medio': {'corner': 0.535, 'mob': 0.4115, 'stable': 0.5906, 'parity': 0.3266, 'pos': 0.4129}, 'final': {'corner': 0.274, 'mob': 0.5444, 'stable': 0.3125, 'parity': 0.5927, 'pos': 0.4422}}",46,63,59
"{'apertura': {'corner': 0.7928, 'mob': 0.3749740709263037, 'stable': 0.876, 'parity': 0.1628, 'pos': 0.6287}, 'medio': {'corner': 0.6865, 'mob': 0.4013, 'stable': 0.2319, 'parity': 0.7189, 'pos': 0.1162}, 'final': {'corner': 0.7551, 'mob': 0.263, 'stable': 0.6067, 'parity': 0.795, 'pos': 0.5554}}",minimax,"{'apertura': {'corner': 0.7928, 'mob': 0.3749740709263037, 'stable': 0.876, 'parity': 0.1628, 'pos': 0.6287}, 'medio': {'corner': 0.6865, 'mob': 0.4013, 'stable': 0.2319, 'parity': 0.7189, 'pos': 0.1162}, 'final': {'corner': 0.7551, 'mob': 0.263, 'stable': 0.6067, 'parity': 0.795, 'pos': 0.5554}}",51,64,60
"{'apertura': {'corner': 0.5718, 'mob': 0.6722, 'stable': 0.524, 'parity': 0.868, 'pos': 0.3184}, 'medio': {'corner': 0.488, 'mob': 0.7334, 'stable': 0.9084, 'parity': 0.4039, 'pos': 0.5093}, 'final': {'corner': 0.7041, 'mob': 0.1319, 'stable': 0.926, 'parity': 0.4454, 'pos': 0.3273}}",minimax,"{'apertura': {'corner': 0.5718, 'mob': 0.6722, 'stable': 0.524, 'parity': 0.868, 'pos': 0.3184}, 'medio': {'corner': 0.488, 'mob': 0.7334, 'stable': 0.9084, 'parity': 0.4039, 'pos': 0.5093}, 'final': {'corner': 0.7041, 'mob': 0.1319, 'stable': 0.926, 'parity': 0.4454, 'pos': 0.3273}}",51,63,60
"{'apertura': {'corner': 0.3262, 'mob': 0.5429, 'stable': 0.91, 'parity': 0.4785, 'pos': 0.3967}, 'medio': {'corner': 0.2856, 'mob': 0.4976, 'stable': 0.5134, 'parity': 0.5033, 'pos': 0.4811}, 'final': {'corner': 0.1497, 'mob': 0.6071, 'stable': 0.5993, 'parity': 0.8912, 'pos': 0.543}}",minimax,minimax,41,64,62
"{'apertura': {'corner': 0.6803, 'mob': 0.727, 'stable': 0.4957, 'parity': 0.6321, 'pos': 0.6277}, 'medio': {'corner': 0.2597, 'mob': 0.6516, 'stable': 0.4646, 'parity': 0.354, 'pos': 0.7535}, 'final': {'corner': 0.5249, 'mob': 0.4934, 'stable': 0.7964, 'parity': 0.6677, 'pos': 0.6248}}",minimax,"{'apertura': {'corner': 0.6803, 'mob': 0.727, 'stable': 0.4957, 'parity': 0.6321, 'pos': 0.6277}, 'medio': {'corner': 0.2597, 'mob': 0.6516, 'stable': 0.4646, 'parity': 0.354, 'pos': 0.7535}, 'final': {'corner': 0.5249, 'mob': 0.4934, 'stable': 0.7964, 'parity': 0.6677, 'pos': 0.6248}}",38,64,60
"{'apertura': {'corner': 0.7080516406470221, 'mob': 0.7545, 'stable': 0.4815, 'parity': 0.5141, 'pos': 0.7824}, 'medio': {'corner': 0.1455, 'mob': 0.6106, 'stable': 0.2427, 'parity': 0.3291, 'pos': 0.8757}, 'final': {'corner': 0.4353, 'mob': 0.6742, 'stable': 0.7315, 'parity': 0.7788, 'pos': 0.7735}}",minimax,"{'apertura': {'corner': 0.7080516406470221, 'mob': 0.7545, 'stable': 0.4815, 'parity': 0.5141, 'pos': 0.7824}, 'medio': {'corner': 0.1455, 'mob': 0.6106, 'stable': 0.2427, 'parity': 0.3291, 'pos': 0.8757}, 'final': {'corner': 0.4353, 'mob': 0.6742, 'stable': 0.7315, 'parity': 0.7788, 'pos': 0.7735}}",34,64,60
"{'apertura': {'corner': 0.6803, 'mob': 0.727, 'stable': 0.4957, 'parity': 0.6321, 'pos': 0.6277}, 'medio': {'corner': 0.2597, 'mob': 0.6516, 'stable': 0.4646, 'parity': 0.354, 'pos': 0.7535}, 'final': {'corner': 0.5249, 'mob': 0.4934, 'stable': 0.7964, 'parity': 0.6677, 'pos': 0.6248}}",minimax,"{'apertura': {'corner': 0.6803, 'mob': 0.727, 'stable': 0.4957, 'parity': 0.6321, 'pos': 0.6277}, 'medio': {'corner': 0.2597, 'mob': 0.6516, 'stable': 0.4646, 'parity': 0.354, 'pos': 0.7535}, 'final': {'corner': 0.5249, 'mob': 0.4934, 'stable': 0.7964, 'parity': 0.6677, 'pos': 0.6248}}",38,64,62
"{'apertura': {'corner': 0.5066, 'mob': 0.6132, 'stable': 0.506, 'parity': 0.6595, 'pos': 0.6042}, 'medio': {'corner': 0.4354, 'mob': 0.5993, 'stable': 0.4629, 'parity': 0.5148, 'pos': 0.5396}, 'final': {'corner': 0.4977, 'mob': 0.3777, 'stable': 0.7771, 'parity': 0.8108, 'pos': 0.3856}}",minimax,minimax,47,64,60
"{'apertura': {'corner': 0.6073, 'mob': 0.6838, 'stable': 0.4938, 'parity': 0.5868, 'pos': 0.6933}, 'medio': {'corner': 0.2904, 'mob': 0.605, 'stable': 0.3528, 'parity': 0.422, 'pos': 0.7077}, 'final': {'corner': 0.4665, 'mob': 0.526, 'stable': 0.7543, 'parity': 0.7948, 'pos': 0.5796}}",minimax,minimax,43,59,61
"{'apertura': {'corner': 0.7928, 'mob': 0.3749740709263037, 'stable': 0.876, 'parity': 0.1628, 'pos': 0.6287}, 'medio': {'corner': 0.6865, 'mob': 0.4013, 'stable': 0.2319, 'parity': 0.7189, 'pos': 0.1162}, 'final': {'corner': 0.7551, 'mob': 0.263, 'stable': 0.6067, 'parity': 0.795, 'pos': 0.5554}}",minimax,"{'apertura': {'corner': 0.7928, 'mob': 0.3749740709263037, 'stable': 0.876, 'parity': 0.1628, 'pos': 0.6287}, 'medio': {'corner': 0.6865, 'mob': 0.4013, 'stable': 0.2319, 'parity': 0.7189, 'pos': 0.1162}, 'final': {'corner': 0.7551, 'mob': 0.263, 'stable': 0.6067, 'parity': 0.795, 'pos': 0.5554}}",46,60,59
"{'apertura': {'corner': 0.5066, 'mob': 0.6132, 'stable': 0.506, 'parity': 0.6595, 'pos': 0.6042}, 'medio': {'corner': 0.4354, 'mob': 0.5993, 'stable': 0.4629, 'parity': 0.5148, 'pos': 0.5396}, 'final': {'corner': 0.4977, 'mob': 0.3777, 'stable': 0.7771, 'parity': 0.8108, 'pos': 0.3856}}",minimax,"{'apertura': {'corner': 0.5066, 'mob': 0.6132, 'stable': 0.506, 'parity': 0.6595, 'pos': 0.6042}, 'medio': {'corner': 0.4354, 'mob': 0.5993, 'stable': 0.4629, 'parity': 0.5148, 'pos': 0.5396}, 'final': {'corner': 0.4977, 'mob': 0.3777, 'stable': 0.7771, 'parity': 0.8108, 'pos': 0.3856}}",43,61,59
